Наименование,Цена,Количество
"Ключ трещотка 3/4"" (505мм, 24зуб, 15град) флажковая АВТОДЕЛО (39530)",2720₽/шт, 12 шт
"Ключ трещотка 3/8"" (200мм, 45зуб, 8град) АВТОДЕЛО (39729)",530₽/шт, 27 шт
"Ключ трещотка 3/8"" (200мм, 45зуб, 8град) ДЕЛО ТЕХНИКИ (618475)",895₽/шт, 4 шт
"Переходник-адаптер 1"" - 3/4"" АвтоДело (39534)",495₽/шт, 25 шт
"Переходник -адаптер 1/2"" - 3/4"" ударный АвтоДело (40171)",565₽/шт, 23 шт
"Переходник -адаптер 3/4"" - 1"" АвтоДело (39536)",480₽/шт, 18 шт
"Переходник -адаптер 3/4"" - 1"" ударный АвтоДело (40173)",570₽/шт, 5 шт
"Переходник -адаптер 3/4"" - 1/2"" АвтоДело (39521)",225₽/шт, 27 шт
"Переходник -адаптер 3/4"" - 1/2"" ударный АвтоДело (40172)",575₽/шт, 26 шт
"Удлинитель1/2"" 125 мм ГОСТ57982-2017 (НИЗ)",175₽/шт, 29 шт
"Удлинитель 1/2"" 250 мм ГОСТ57982-2017 (НИЗ)",260₽/шт, 32 шт
"Удлинитель1/2"" 250 мм АвтоДело УДАРНЫЙ (40050)",360₽/шт, 4 шт
"Удлинитель 3/4"" 200 мм АвтоДело УДАРНЫЙ (40031)",620₽/шт, 0 шт
Шарнир-кардан (НИЗ),275₽/шт, 22 шт
"Ключ рожковый 5,5х7",38₽/шт, 88 шт
Ключ рожковый 6х7,38₽/шт, 97 шт
Ключ рожковый 7х8,78₽/шт, 85 шт
Ключ рожковый 8х 9,65₽/шт, 22 шт
Ключ рожковый 8х10,46₽/шт, 716 шт
Ключ рожковый 8х10 КЗСМИ Камышин,89₽/шт, 100 шт
Ключ рожковый 9х11,72₽/шт, 143 шт
Ключ рожковый 9х11 КЗСМИ Камышин,102₽/шт, 12 шт
Ключ рожковый 10х11,43₽/шт, 343 шт
Ключ рожковый 10х11 КЗСМИ Камышин,98₽/шт, 20 шт
Ключ рожковый 10х12,58₽/шт, 607 шт
Ключ рожковый 10х12 КЗСМИ Камышин,99₽/шт, 47 шт
Ключ рожковый 11х13 КЗСМИ Камышин,120₽/шт, 15 шт
Ключ рожковый 12х13,69₽/шт, 104 шт
Ключ рожковый 12х13 КЗСМИ Камышин,115₽/шт, 48 шт
Ключ рожковый 12х14,65₽/шт, 261 шт
Ключ рожковый 12х14 КЗСМИ Камышин,185₽/шт, 14 шт
Ключ рожковый 13х14,71₽/шт, 318 шт
Ключ рожковый 13х14 КЗСМИ Камышин,115₽/шт, 31 шт
Ключ рожковый 13х15,72₽/шт, 39 шт
Ключ рожковый 13х15 КЗСМИ Камышин,116₽/шт, 5 шт
Ключ рожковый 13х17,77₽/шт, 297 шт
Ключ рожковый 13х17 КЗСМИ Камышин,185₽/шт, 41 шт
Ключ рожковый 14х17,78₽/шт, 446 шт
Ключ рожковый 14х17 КЗСМИ Камышин,136₽/шт, 54 шт
Ключ рожковый 16х17 КЗСМИ Камышин,146₽/шт, 15 шт
Ключ рожковый 17х19,110₽/шт, 1579 шт
Ключ рожковый 17х19 КЗСМИ Камышин,190₽/шт, 77 шт
Ключ рожковый 19х22,130₽/шт, 689 шт
Ключ рожковый 19х22 КЗСМИ Камышин,210₽/шт, 85 шт
Ключ рожковый 22х24,175₽/шт, 525 шт
Ключ рожковый 22х24 КЗСМИ Камышин,280₽/шт, 101 шт
Ключ рожковый 24х27,183₽/шт, 580 шт
Ключ рожковый 24х27 КЗСМИ Камышин,385₽/шт, 94 шт
Ключ рожковый 27х30,235₽/шт, 301 шт
Ключ рожковый 27х30 КЗСМИ Камышин,435₽/шт, 35 шт
Ключ рожковый 27х32,275₽/шт, 178 шт
Ключ рожковый 27х32 КЗСМИ Камышин,525₽/шт, 27 шт
Ключ рожковый 30х32,245₽/шт, 385 шт
Ключ рожковый 30х32 КЗСМИ Камышин,530₽/шт, 29 шт
Ключ рожковый 32х36,505₽/шт, 237 шт
Ключ рожковый 32х36 КЗСМИ Камышин,685₽/шт, 52 шт
Ключ рожковый 36х41,640₽/шт, 62 шт
Ключ рожковый 36х41 КЗСМИ Камышин,1080₽/шт, 26 шт
Ключ рожковый 41х46,990₽/шт, 35 шт
Ключ рожковый 41х46 КЗСМИ Камышин,2040₽/шт, 10 шт
Ключ рожковый 46х50,1395₽/шт, 18 шт
Ключ рожковый 46х50 КЗСМИ Камышин,2445₽/шт, 5 шт
Ключ рожковый 50х55,2400₽/шт, 12 шт
Ключ рожковый 50х55 КЗСМИ Камышин,2990₽/шт, 7 шт
Ключ рожковый 55х60,4650₽/шт, 5 шт
Ключ рожковый 65х70,10640₽/шт, 1 шт
Ключ рожковый односторонний 30,405₽/шт, 0 шт
Ключ рожковый односторонний 32,430₽/шт, 10 шт
Ключ рожковый односторонний 36,650₽/шт, 11 шт
Ключ рожковый односторонний 41,680₽/шт, 15 шт
Ключ рожковый односторонний 46,790₽/шт, 0 шт
Ключ рожковый односторонний 50,975₽/шт, 10 шт
Ключ рожковый односторонний 55,1350₽/шт, 6 шт
Ключ рожковый односторонний 60,1500₽/шт, 5 шт
Ключ рожковый односторонний 65,1920₽/шт, 12 шт
Ключ рожковый односторонний 70,3090₽/шт, 3 шт
Ключ рожковый односторонний 75,3590₽/шт, 5 шт
Ключ рожковый односторонний 80,6350₽/шт, 2 шт
Ключ рожковый односторонний 85,6530₽/шт, 2 шт
Ключ рожковый односторонний 95 мм 7811-0183 ГОСТ3108-71 КЗСМИ Камышин,7750₽/шт, 0 шт
Ключ комбинированный 6х6,"49,5₽/шт", 146 шт
Ключ комбинированный 6х6 КЗСМИ Камышин,83₽/шт, 21 шт
Ключ комбинированный 7х7,40₽/шт, 195 шт
Ключ комбинированный 7х7 КЗСМИ Камышин,98₽/шт, 38 шт
Ключ комбинированный 8х8,48₽/шт, 536 шт
Ключ комбинированный 8х8 КЗСМИ Камышин,108₽/шт, 37 шт
Ключ комбинированный 9х9,63₽/шт, 55 шт
Ключ комбинированный 9х9 КЗСМИ Камышин,110₽/шт, 41 шт
Ключ комбинированный 10х10,51₽/шт, 399 шт
Ключ комбинированный 10х10 КЗСМИ Камышин,118₽/шт, 95 шт
Ключ комбинированный 11х11,53₽/шт, 48 шт
Ключ комбинированный 11х11 КЗСМИ Камышин,130₽/шт, 44 шт
Ключ комбинированный 12х12,63₽/шт, 264 шт
Ключ комбинированный 12х12 КЗСМИ Камышин,133₽/шт, 41 шт
Ключ комбинированный 13х13,62₽/шт, 552 шт
Ключ комбинированный 13х13 КЗСМИ Камышин,142₽/шт, 85 шт
Ключ комбинированный 14х14,75₽/шт, 312 шт
Ключ комбинированный 14х14 КЗСМИ Камышин,148₽/шт, 26 шт
Ключ комбинированный 15х15,79₽/шт, 84 шт
Ключ комбинированный 15х15 КЗСМИ Камышин,163₽/шт, 23 шт
Ключ комбинированный 16х16,115₽/шт, 46 шт
Ключ комбинированный 17х17,92₽/шт, 349 шт
Ключ комбинированный 17х17 КЗСМИ Камышин,170₽/шт, 95 шт
Ключ комбинированный 18х18,155₽/шт, 28 шт
Ключ комбинированный 19х19,110₽/шт, 285 шт
Ключ комбинированный 19х19 КЗСМИ Камышин,220₽/шт, 59 шт
Ключ комбинированный 20х20,175₽/шт, 23 шт
Ключ комбинированный 21х21***,210₽/шт, 8 шт
Ключ комбинированный 22х22,152₽/шт, 242 шт
Ключ комбинированный 22х22 КЗСМИ Камышин,278₽/шт, 48 шт
Ключ комбинированный 24х24,225₽/шт, 318 шт
Ключ комбинированный 24х24 КЗСМИ Камышин,315₽/шт, 31 шт
Ключ комбинированный 27х27,310₽/шт, 273 шт
Ключ комбинированный 27х27 КЗСМИ Камышин,520₽/шт, 34 шт
Ключ комбинированный 30х30,410₽/шт, 148 шт
Ключ комбинированный 30х30 КЗСМИ Камышин,650₽/шт, 41 шт
Ключ комбинированный 32х32,470₽/шт, 186 шт
Ключ комбинированный 32х32 КЗСМИ Камышин,745₽/шт, 25 шт
Ключ комбинированный 36х36,1200₽/шт, 38 шт
Ключ комбинированный 36х36 КЗСМИ Камышин,1250₽/шт, 31 шт
Ключ комбинированный 41х41 КЗСМИ Камышин,1760₽/шт, 41 шт
Ключ комбинированный 46х46 КЗСМИ Камышин,1790₽/шт, 21 шт
Ключ комбинированный 55х55 КЗСМИ Камышин**,2630₽/шт, 10 шт
Ключ комбинированный трещоточный 8x8 (515008),270₽/шт, 32 шт
Ключ комбинированный трещоточный 10х10 (515010),240₽/шт, 58 шт
Ключ комбинированный трещоточный 11х11 (515011),290₽/шт, 5 шт
Ключ комбинированный трещоточный 12х12 (515012),280₽/шт, 45 шт
Ключ комбинированный трещоточный 13х13 (515013),285₽/шт, 36 шт
Ключ комбинированный трещоточный 14х14 (515014),345₽/шт, 39 шт
Ключ комбинированный трещоточный 17х17 (515017),410₽/шт, 37 шт
Ключ комбинированный трещоточный 19х19 (515019),440₽/шт, 40 шт
Ключ комбинированный трещоточный 22х22 (515022),595₽/шт, 9 шт
Ключ комбинированный трещоточный 24х24 (515024),710₽/шт, 15 шт
Ключ накидной 8х10,92₽/шт, 31 шт
Ключ накидной коленчатый 8х10 КЗСМИ Камышин,144₽/шт, 3 шт
Ключ накидной 10х11,93₽/шт, 9 шт
Ключ накидной 10х12,106₽/шт, 19 шт
Ключ накидной коленчатый 10х12 КЗСМИ Камышин,138₽/шт, 3 шт
Ключ накидной 12x13 трещоточный,260₽/шт, 132 шт
Ключ накидной 12х13,98₽/шт, 20 шт
Ключ накидной коленчатый 12х13 КЗСМИ Камышин,182₽/шт, 4 шт
Ключ накидной 12х14,115₽/шт, 18 шт
Ключ накидной коленчатый 12х14 КЗСМИ Камышин,185₽/шт, 2 шт
Ключ накидной 13х14,120₽/шт, 15 шт
Ключ накидной коленчатый 13х14 КЗСМИ Камышин,183₽/шт, 2 шт
Ключ накидной 13х17,156₽/шт, 9 шт
Ключ накидной 14х17,152₽/шт, 6 шт
Ключ накидной коленчатый 14х17 КЗСМИ Камышин,245₽/шт, 4 шт
Ключ накидной 14х17 трещоточный,340₽/шт, 129 шт
Ключ накидной 17х19,175₽/шт, 21 шт
Ключ накидной коленчатый 17х19 КЗСМИ Камышин,300₽/шт, 4 шт
Ключ накидной 19х22,220₽/шт, 11 шт
Ключ накидной коленчатый 19х22 КЗСМИ Камышин,345₽/шт, 11 шт
Ключ накидной 22х24,320₽/шт, 18 шт
Ключ накидной коленчатый 22х24 КЗСМИ Камышин,460₽/шт, 3 шт
Ключ накидной 24х27,380₽/шт, 15 шт
Ключ накидной коленчатый 24х27 КЗСМИ Камышин,490₽/шт, 4 шт
Ключ накидной коленчатый 24х30 КЗСМИ Камышин,570₽/шт, 1 шт
Ключ накидной 27х30,490₽/шт, 16 шт
Ключ накидной коленчатый 27х30 КЗСМИ Камышин,680₽/шт, 2 шт
Ключ накидной 30х32,485₽/шт, 14 шт
Ключ накидной коленчатый 30х32 КЗСМИ Камышин,810₽/шт, 3 шт
Ключ накидной 32х36,1040₽/шт, 10 шт
Ключ накидной коленчатый 32х36 КЗСМИ Камышин,1830₽/шт, 0 шт
Ключ накидной 36х41,1370₽/шт, 22 шт
Ключ накидной коленчатый 36х41 КЗСМИ Камышин,2300₽/шт, 2 шт
Ключ накидной односторонний 22 мм ударный,505₽/шт, 3 шт
Ключ накидной односторонний 24 мм,320₽/шт, 2 шт
Ключ накидной односторонний 24 мм ударный,530₽/шт, 0 шт
Ключ накидной односторонний 27 мм ударный,620₽/шт, 2 шт
Ключ накидной односторонний 30 мм,355₽/шт, 3 шт
Ключ накидной односторонний 30 мм ударный,685₽/шт, 5 шт
Ключ накидной односторонний 32 мм,350₽/шт, 6 шт
Ключ накидной односторонний 32 мм ударный,1050₽/шт, 5 шт
Ключ накидной односторонний 36 мм,430₽/шт, 0 шт
Ключ накидной односторонний 36 мм ударный,1160₽/шт, 12 шт
Ключ накидной односторонний 41 мм,510₽/шт, 25 шт
Ключ накидной односторонний 41 мм ударный,1640₽/шт, 7 шт
Ключ накидной односторонний 46 мм,545₽/шт, 6 шт
Ключ накидной односторонний 46 мм ударный,1900₽/шт, 4 шт
Ключ накидной односторонний 50 мм,665₽/шт, 2 шт
Ключ накидной односторонний 50 мм ударный,2840₽/шт, 6 шт
Ключ накидной односторонний 55 мм ударный,2950₽/шт, 6 шт
Ключ накидной односторонний 60 мм ударный,3670₽/шт, 1 шт
Ключ накидной односторонний 65 мм ударный,3540₽/шт, 4 шт
Ключ накидной односторонний 70 мм ударный,4230₽/шт, 5 шт
Ключ накидной односторонний 75 мм ударный,5600₽/шт, 2 шт
Ключ накидной односторонний 80 мм ударный,6930₽/шт, 2 шт
Ключ накидной односторонний 85 мм ударный,6700₽/шт, 3 шт
Ключ накидной односторонний 90 мм ударный,"6345,2₽/шт", 0 шт
Ключ накидной односторонний 95 мм ударный,"9337,9₽/шт", 0 шт
Ключ накидной односторонний 100 мм ударный **,"11898,5₽/шт", 0 шт
КТР №0 ключ трубный рычажный (НИЗ),580₽/шт, 25 шт
КТР №1 ключ трубный рычажный (НИЗ),555₽/шт, 55 шт
"КТР №1 ключ трубный рычажный CrV ПРОФИ ""ONYX""",590₽/шт, 144 шт
КТР №2 ключ трубный рычажный (НИЗ),820₽/шт, 78 шт
"КТР №2 ключ трубный рычажный CrV ПРОФИ ""ONYX""",780₽/шт, 0 шт
КТР №3 ключ трубный рычажный (НИЗ),1290₽/шт, 38 шт
КТР №3 ключ трубный рычажный CrV ПРОФИ,1150₽/шт, 34 шт
КТР №4 ключ трубный рычажный (НИЗ),2960₽/шт, 39 шт
КТР №5 ключ трубный рычажный (НИЗ),5030₽/шт, 20 шт
Ключ разводной 0- 38 мм с тонкими губками и шкалой.,526₽/шт, 45 шт
Ключ разводной 0-19 мм L-150 мм НИЗ,282₽/шт, 206 шт
Ключ разводной 0-19 мм L-150 мм 1000 В НИЗ,625₽/шт, 5 шт
Ключ разводной 0-24 мм L-200 мм АвтоДело (30420),330₽/шт, 50 шт
Ключ разводной 0-30 мм L-250 мм НИЗ,490₽/шт, 158 шт
Ключ разводной 0-30 мм L-250 мм 1000 В НИЗ,810₽/шт, 5 шт
Ключ разводной 0-30 мм L-250 мм АвтоДело (30425),485₽/шт, 46 шт
Ключ разводной 0-38 мм L-300 мм БМ,625₽/шт, 47 шт
Ключ разводной 0-46 мм L-380 мм (БМ),1150₽/шт, 35 шт
Ключ универсальный самозажимной 8-42 мм VIRA,1055₽/шт, 2 шт
"Ключ динамометрический 40-210 Нм 1/2"" длина 470мм, кейс 40347",2160₽/шт, 5 шт
"Ключ динамометрический 70-350 Нм 1/2""длина 630мм,кейс АВТОДЕЛО (40364)",3960₽/шт, 4 шт
"Ключ динамометрический 75-350 Нм 1/2""длина 630мм,кейс AV-Steel (AV-527350)",5650₽/шт, 0 шт
Ключ динамометрический КМ-140 (до 14 кг) НИЗ,1650₽/шт, 5 шт
"Ключ балонный 17х19 - 21х квадрат 1/2"" (крест)",720₽/шт, 6 шт
Ключ балонный 19 (ВАЗ),210₽/шт, 1 шт
Ключ торцевой 30x32 прямой (МАЗ),1240₽/шт, 0 шт
Ключ торцевой 7х7 Г-обр.,95₽/шт, 53 шт
Ключ торцевой 8х8 Г-обр.,93₽/шт, 16 шт
Ключ торцевой 10х10 Г-обр.,155₽/шт, 15 шт
Ключ торцевой 12х12 Г-обр.,150₽/шт, 15 шт
Ключ торцевой 13х13 Г-обр.,165₽/шт, 26 шт
Ключ торцевой 14х14 Г-обр.,175₽/шт, 8 шт
Ключ торцевой 15х15 Г-обр.,168₽/шт, 6 шт
Ключ торцевой 16х16 Г-обр.,300₽/шт, 4 шт
Ключ торцевой 17х17 Г-обр.,225₽/шт, 54 шт
Ключ торцевой 19х19 Г-обр.,296₽/шт, 20 шт
Ключ торцевой 22х22 Г-обр.,365₽/шт, 16 шт
Ключ торцевой 24х24 Г-обр.,450₽/шт, 10 шт
Ключ торцевой 27х27 Г-обр.,490₽/шт, 2 шт
Ключ торцевой 30х30 Г-обр.,670₽/шт, 3 шт
Ключ торцевой 32х32 Г-обр.,740₽/шт, 3 шт
"Ключ шестигранный 1,5 мм","4,5₽/шт", 33190 шт
"Ключ шестигранный 2,0 мм","5,5₽/шт", 48334 шт
"Ключ шестигранный 2,5 мм","6,5₽/шт", 44585 шт
Ключ шестигранный 3 мм,"7,5₽/шт", 23044 шт
Ключ шестигранный 4 мм,"7,8₽/шт", 27207 шт
Ключ шестигранный 5 мм,"13,5₽/шт", 13508 шт
Ключ шестигранный 6 мм,"18,2₽/шт", 11188 шт
Ключ шестигранный 8 мм,39₽/шт, 4579 шт
Ключ шестигранный 10 мм,59₽/шт, 2471 шт
Ключ шестигранный 12 мм,87₽/шт, 89 шт
Ключ шестигранный 13 мм,120₽/шт, 1013 шт
Ключ шестигранный 14 мм,145₽/шт, 12 шт
Ключ шестигранный 17 мм,182₽/шт, 19 шт
Ключ шестигранный 19 мм,230₽/шт, 10 шт
Ключ шестигранный 22 мм,280₽/шт, 4 шт
Ключ шестигранный 24 мм,288₽/шт, 4 шт
Ключ трубчатый 8х10,69₽/шт, 21 шт
Ключ трубчатый 10х12,73₽/шт, 39 шт
"Опора бруса 140*100*76*1,8 мм.",88₽/шт, 370 шт
Опора бруса 140*50*76*2 мм,74₽/шт, 293 шт
Уголок для полок 100х75 мм белый,19₽/шт, 21 шт
Уголок для полок 100х75 мм коричневый,20₽/шт, 21 шт
Уголок для полок 150х125 мм белый,29₽/шт, 23 шт
Уголок для полок 150х125 мм коричневый,28₽/шт, 26 шт
Уголок для полок 200х150 мм белый,36₽/шт, 27 шт
Уголок для полок 200х150 мм коричневый,37₽/шт, 28 шт
Уголок для полок 250х200 мм белый,47₽/шт, 27 шт
Уголок для полок 250х200 мм коричневый,48₽/шт, 18 шт
"Уголок крепежный 40*40*20*1,8мм KUR",6₽/шт, 866 шт
"Уголок крепежный 40*40*40*1,8мм КUR",9₽/шт, 2280 шт
"Уголок крепежный 50*50*35*1,8мм",10₽/шт, 1300 шт
"Уголок крепежный 50*50*36*1,8мм УСИЛЕННЫЙ",10₽/шт, 709 шт
"Уголок крепежный 60*60*60*1,8мм KUR",20₽/шт, 147 шт
"Уголок крепежный 65*65*53*1,8мм",20₽/шт, 172 шт
"Уголок крепежный 65*65*53*1,8мм УСИЛЕННЫЙ",20₽/шт, 440 шт
"Уголок крепежный 90*90*40*1,8мм",21₽/шт, 209 шт
"Уголок крепежный 90*90*40*1,8мм УСИЛЕННЫЙ",21₽/шт, 294 шт
"Уголок крепежный 90*90*65*1,8мм",32₽/шт, 318 шт
"Уголок крепежный 90*90*65*1,8мм УСИЛЕННЫЙ",32₽/шт, 1154 шт
"Уголок крепежный 100*100*90*1,8мм",50₽/шт, 393 шт
"Уголок крепежный 100*100*90*1,8мм УСИЛЕННЫЙ",50₽/шт, 434 шт
Уголок-кронштейн 20х20,16₽/шт, 57 шт
Уголок-кронштейн 40х40,22₽/шт, 199 шт
Уголок-кронштейн 60х60,26₽/шт, 81 шт
Уголок-кронштейн 80х80,29₽/шт, 60 шт
Уголок-кронштейн 100х100,31₽/шт, 51 шт
"Лента монтажная перфорированная (волна) 0,5*12 мм (25 м)",260₽/шт, 100 шт
"Лента монтажная перф. (волна ) 0,7*25 мм (25 м)",680₽/шт, 26 шт
"Лента монтажная перфорированная (прямая) 0,5*12 мм(25 м)",268₽/шт, 20 шт
"Лента монтажная перф. (прямая) 0,5*20 мм (25 м)",415₽/шт, 86 шт
"Пластина крепежная 100*35*1,8мм",10₽/шт, 365 шт
"Пластина крепежная 130*55*1,8мм",19₽/шт, 261 шт
"Пластина крепежная 180*40*1,8мм",20₽/шт, 140 шт
"Пластина крепежная 200*90*1,8мм",47₽/шт, 263 шт
"Гвозди строительные 2,5*50/25кг/ ГОСТ 4028",2650₽/упак, 70 упак
"Гвозди строительные 2,5*50/5кг/ ГОСТ 4028",565₽/упак, 137 упак
Гвозди строительные 3*70/25кг/ ГОСТ 4028,2610₽/упак, 164 упак
Гвозди строительные 3*70/5кг/ ГОСТ 4028,515₽/упак, 276 упак
Гвозди строительные 3*80/5кг/ ГОСТ 4028,515₽/упак, 234 упак
Гвозди строительные 4*100/25кг/ ГОСТ 4028,2720₽/упак, 311 упак
Гвозди строительные 4*100/5кг/ ГОСТ 4028,510₽/упак, 367 упак
Гвозди строительные 4*120/25кг/ ГОСТ 4028,2745₽/упак, 45 упак
Гвозди строительные 4*120/5кг/ ГОСТ 4028,520₽/упак, 154 упак
Гвозди строительные 5*150/25кг/ ГОСТ 4028,2730₽/упак, 65 упак
Гвозди строительные 5*150/5кг/ ГОСТ 4028,530₽/упак, 216 упак
Гвозди строительные 6*200/5кг/ ГОСТ 4028,575₽/упак, 46 упак
"Гвозди финишные 1,6*20/0,5кг/",135₽/упак, 15 упак
"Гвозди финишные 1,6*30/0,5кг/",135₽/упак, 13 упак
"Гвозди финишные 1,8*30/0,5кг/",135₽/упак, 14 упак
"Гвозди финишные 1,8*40/0,5кг/",135₽/упак, 23 упак
"Гвозди финишные 1,8*50/0,5кг/",135₽/упак, 9 упак
Анкер для гипрока с шурупом КМП 10х60 (60шт),920₽/шт, 10 шт
Анкер клиновой 8/30-100 А-КА (100шт),4000₽/упак, 12 упак
Анкер клиновой 10/15-90 А-КА (50шт),2870₽/упак, 11 упак
Анкер клиновой 10/30-110 А-КА (50шт),3100₽/упак, 13 упак
Анкер клиновой 12/50-140 А-КА (40шт),4150₽/упак, 7 упак
Анкер латунный 8 мм А-ВА (100шт),1070₽/упак, 13 упак
Анкер латунный 10 мм А-ВА (50шт),890₽/упак, 0 упак
Анкер химический КМП K-PESF 300 мл полиэстер,1160₽/шт, 48 шт
Дюбель 5*25 (100шт) нейлон,70₽/упак, 93 упак
Дюбель 6*30 (100шт) нейлон,84₽/упак, 733 упак
Дюбель 8*40 (100шт) нейлон,183₽/упак, 72 упак
Дюбель 8*60 удлин. (100шт) нейлон FRIULSIDER остаток,230₽/упак, 1 упак
Дюбель 10*50 (50шт) нейлон,178₽/упак, 37 упак
Дюбель 10*80 удлин. (25шт) нейлон,157₽/упак, 25 упак
Дюбель 12*60 (25шт) нейлон,183₽/упак, 20 упак
Дюбель забивной 6*40 (150 шт ) КМП,770₽/упак, 42 упак
Дюбель забивной 6*60 (100 шт ) КМП,720₽/упак, 40 упак
Дюбель забивной 6х80 (150шт) Партнер,850₽/упак, 11 упак
Дюбель забивной 8х100 (50шт) КМП,840₽/упак, 18 упак
Дюбель фасадный 10х100мм метал. гвоздь BAU-FIX (500шт),3600₽/упак, 6 упак
Дюбель фасадный 10х120мм метал. гвоздь BAU-FIX (500шт),4030₽/упак, 5 упак
Дюбель фасадный 10х160мм метал. гвоздь BAU-FIX (250шт),2580₽/упак, 9 упак
Дюбель фасадный 10х200мм метал. гвоздь BAU-FIX (250шт),3030₽/упак, 10 упак
"Дюбель-гвоздь 4,5*40 (148шт/кг)",340₽/кг, 114 кг
"Дюбель-гвоздь 4,5*50 (125шт/кг)",340₽/кг, 225 кг
"Дюбель-гвоздь 4,5*60 (109шт/кг)",340₽/кг, 576 кг
"Саморез ГД 3,8х25 РН2 (950шт)",288₽/упак, 78 упак
"Саморез ГД 3,8х32 РН2 (1000шт)",375₽/упак, 44 упак
"Саморез ГД 3,8х35 РН2 (1000шт)",382₽/упак, 103 упак
"Саморез ГД 3,8х41 РН2 (1000шт)",430₽/упак, 146 упак
"Саморез ГД 3,8х45 РН2 (1000шт)",468₽/упак, 110 упак
"Саморез ГД 3,8х51 РН2 (950шт)",495₽/упак, 114 упак
"Саморез ГД 3,8х55 РН2 (500шт)",305₽/упак, 87 упак
"Саморез ГД 4,2х65 РН2 (500шт)",370₽/упак, 184 упак
"Саморез ГД 4,2х75 РН2 (250шт)",238₽/упак, 404 упак
"Саморез ГД 4,2х90 РН2 (250шт)",305₽/упак, 52 упак
"Саморез ГД 4,8х100 РН2 (250шт)",405₽/упак, 42 упак
"Саморез ГД 4,8х110 РН2(250шт)",538₽/упак, 21 упак
"Саморез ГМ 3,5х25 РН2 (950шт)",298₽/упак, 220 упак
"Саморез ГМ 3,5х32 РН2 (1000шт)",384₽/упак, 27 упак
"Саморез ГМ 3,5х35 РН2 (1000шт)",370₽/упак, 49 упак
"Саморез ГМ 3,5х41 РН2 (1000шт)",474₽/упак, 35 упак
"Саморез ГМ 3,5х45 РН2 (1000шт)",510₽/упак, 12 упак
"Саморез ГМ 3,5х51 РН2 (950шт)",535₽/упак, 22 упак
"Саморез ГМ 3,5х55 РН2 (500шт)",330₽/упак, 20 упак
"Саморез ГМ 4,2х65 РН2 (500шт)",395₽/упак, 23 упак
"Саморез ГМ 4,2х75 РН2 (250шт)",235₽/упак, 45 упак
"Саморез прессшайба 4,2х13 РН2 (1000шт)",310₽/упак, 68 упак
"Саморез прессшайба 4,2х16 РН2 (900шт)",330₽/упак, 53 упак
"Саморез прессшайба 4,2х19 РН2 (1000шт)",380₽/упак, 42 упак
"Саморез прессшайба 4,2х25 РН2 (1000шт)",455₽/упак, 35 упак
"Саморез прессшайба 4,2х32 РН2 (1000шт)",545₽/упак, 59 упак
"Саморез прессшайба 4,2х38 РН2 (1000шт)",652₽/упак, 34 упак
"Саморез прессшайба 4,2х50 РН2 (500шт)",398₽/упак, 22 упак
"Саморез прессшайба сверло 4,2х13 РН2 (1000шт)",385₽/упак, 28 упак
"Саморез прессшайба сверло 4,2х16 РН2 (900шт)",375₽/упак, 42 упак
"Саморез прессшайба сверло 4,2х19 РН2 (1000шт)",510₽/упак, 30 упак
"Саморез прессшайба сверло 4,2х25 РН2 (1000шт)",615₽/упак, 14 упак
"Саморез прессшайба сверло 4,2х38 РН2 (1000шт)",720₽/упак, 28 упак
"Саморез кровельный 5,5х25 D8 (250шт)",299₽/упак, 49 упак
"Саморез кровельный 4,8х29 D8 (250шт)",320₽/упак, 26 упак
"Саморез кровельный 4,8х35 D8 (250шт)",340₽/упак, 34 упак
"Саморез кровельный 4,8х51 D8 (250шт)",410₽/упак, 25 упак
Саморез универсальный оцинк. 3.0х40мм PZ1 (200шт),99₽/упак, 64 упак
Саморез универсальный оцинк. 5.0х40мм PZ2 (200шт),150₽/упак, 74 упак
Саморез универсальный оцинк. 3.5х 50мм PZ2 (200шт),110₽/упак, 34 упак
Саморез универсальный оцинк. 4.5х 60мм PZ2 (150шт),140₽/упак, 66 упак
"Саморез универсальный оцинк. 5,0х 50мм PZ2 (150шт)",183₽/упак, 80 упак
Саморез универсальный оцинк. 5.0х 70мм PZ2 (100шт),135₽/упак, 142 упак
Саморез универсальный оцинк. 5.0х 80мм PZ2 (90шт),146₽/упак, 45 упак
Саморез универсальный оцинк. 6.0х 90мм PZ23 (50шт),158₽/упак, 163 упак
Гайка М6 (500шт) DIN 934,335₽/упак, 15 упак
Гайка М8 (300шт) DIN 934,418₽/упак, 38 упак
Гайка М10 (200шт) DIN 934,580₽/упак, 6 упак
Гайка М12 (100шт) DIN 934,455₽/упак, 22 упак
Гайка М16 (50шт) DIN 934,455₽/упак, 27 упак
Шайба плоская М6 (1135 шт) DIN 125,350₽/упак, 25 упак
Шайба плоская М8 (588 шт) DIN 125,350₽/упак, 23 упак
Шайба плоская М10 (315 шт) DIN 125,350₽/упак, 21 упак
Шайба плоская М12 (173 шт) DIN 125,350₽/упак, 22 упак
Шайба плоская М16 (105 шт) DIN 125,350₽/упак, 28 упак
Шайба плоская увеличенная М 6 (340 шт) DIN 9021,325₽/упак, 27 упак
Шайба плоская увеличенная М 8 (170 шт) DIN 9021,315₽/упак, 21 упак
Шайба плоская увеличенная М10 (93 шт) DIN 9021,315₽/упак, 18 упак
Шайба плоская увеличенная М12 (45 шт) DIN 9021,315₽/упак, 20 упак
